index,y,x,rightdis,leftdis,topdis,bottomdis,average4,averagecol,averagerow,pred
2,373.75,291.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,-1
3,373.75,291.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,-1
4,373.25,289.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
5,376.25,278.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
6,376.75,267.5,18.02775638,19.02629759,18.02775638,18.0,18.27045259,18.01387819,18.52702698,1
7,373.25,258.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
9,356.75,231.5,19.02629759,18.02775638,19.02629759,17.0,18.27008789,18.0131488,18.52702698,-1
10,355.75,221.5,19.02629759,18.02775638,18.02775638,18.0,18.27045259,18.01387819,18.52702698,1
13,357.25,190.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,-1
31,355.75,307.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,1
33,355.75,328.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,1
34,355.75,338.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,1
37,355.25,386.0,18.0,19.0,18.0,18.02775638,18.25693909,18.01387819,18.5,-1
38,355.25,392.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,-1
41,380.75,400.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,-1
69,357.25,287.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
70,356.25,300.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
71,356.25,318.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
72,356.25,327.5,19.02629759,18.02775638,18.0,18.02775638,18.27045259,18.01387819,18.52702698,1
73,353.75,290.5,19.02629759,18.02775638,18.02775638,18.0,18.27045259,18.01387819,18.52702698,1
74,354.75,276.0,19.0,18.0,18.02775638,18.0,18.25693909,18.01387819,18.5,-1
