,average4,averagecol,averagerow,bottomdis,index,leftdis,pred,rightdis,topdis,x,y
0,18.756574397610112,18.5,19.013148795220225,19.0,0,19.026297590440446,,19.0,18.0,298.25,356.5
1,18.756574397610112,18.5,19.013148795220225,19.0,1,19.026297590440446,,19.0,18.0,298.25,356.5
2,18.756574397610112,18.5,19.013148795220225,19.0,2,19.026297590440446,,19.0,18.0,298.25,356.5
3,18.756574397610112,18.5,19.013148795220225,19.0,3,19.026297590440446,,19.0,18.0,298.25,356.5
4,18.013878188659973,18.027756377319943,18.0,18.027756377319943,4,17.0,,19.0,18.027756377319943,300.0,356.5
5,17.756939094329987,17.5,18.013878188659973,17.0,5,18.0,,18.027756377319943,18.0,319.25,355.0
6,17.756939094329987,17.5,18.013878188659973,18.0,6,18.027756377319943,,18.0,17.0,357.75,355.0
7,18.0,18.0,18.0,18.0,7,18.0,,18.0,18.0,384.0,355.0
8,18.5135134919401,18.513878188659973,18.513148795220225,18.027756377319943,8,18.0,,19.026297590440446,19.0,390.75,355.25
9,18.5,18.0,19.0,18.0,9,19.0,,19.0,18.0,426.0,355.5
10,18.77008788955021,18.5270269838802,19.013148795220225,18.027756377319943,10,19.0,,19.026297590440446,19.026297590440446,447.75,355.0
11,18.513878188659973,18.027756377319943,19.0,18.027756377319943,11,19.0,,19.0,18.027756377319943,454.0,355.0
12,18.56853393335764,18.110770276274835,19.026297590440446,18.110770276274835,12,19.026297590440446,,19.026297590440446,18.110770276274835,453.5,355.5
13,18.256939094329987,18.013878188659973,18.5,18.0,13,18.0,,19.0,18.027756377319943,421.0,354.75
14,18.256574397610112,17.5,19.013148795220225,17.0,14,19.0,,19.026297590440446,18.0,365.25,354.5
15,17.614006522449262,17.11724276862369,18.110770276274835,17.11724276862369,15,18.110770276274835,,18.110770276274835,17.11724276862369,322.5,355.0
16,18.0,18.0,18.0,18.0,16,18.0,,18.0,18.0,252.0,355.0
17,18.5,18.0,19.0,18.0,17,19.0,,19.0,18.0,229.0,354.5
18,18.013878188659973,18.0,18.027756377319943,18.0,18,18.027756377319943,,18.027756377319943,18.0,207.5,356.0
19,17.756939094329987,17.5,18.013878188659973,17.0,19,18.0,,18.027756377319943,18.0,194.25,355.0
20,17.5,17.0,18.0,17.0,20,18.0,,18.0,17.0,160.5,353.0
21,17.756939094329987,18.013878188659973,17.5,18.0,21,17.0,,18.0,18.027756377319943,161.0,353.25
22,18.0,18.0,18.0,18.0,22,18.0,,18.0,18.0,161.0,353.0
23,17.2573465914816,17.0146931829632,17.5,17.029386365926403,23,18.0,,17.0,17.0,160.5,386.75
24,17.5146931829632,17.029386365926403,18.0,17.029386365926403,24,18.0,,18.0,17.029386365926403,159.5,409.5
25,17.784631663398695,18.06926332679739,17.5,18.027756377319943,25,17.0,,18.0,18.110770276274835,160.0,421.75
26,17.784631663398695,18.06926332679739,17.5,18.027756377319943,26,17.0,,18.0,18.110770276274835,160.0,421.75
27,17.5146931829632,17.029386365926403,18.0,17.029386365926403,27,18.0,,18.0,17.029386365926403,161.5,431.5
28,17.5146931829632,18.0,17.029386365926403,18.0,28,17.029386365926403,,17.029386365926403,18.0,162.5,436.5
29,17.327223374675615,17.63883697841053,17.0156097709407,17.029386365926403,29,16.0312195418814,,18.0,18.248287590894652,272.75,448.0
30,17.79891734921028,18.06926332679739,17.528571371623173,18.027756377319943,30,17.029386365926403,,18.027756377319943,18.110770276274835,294.5,446.75
31,18.013878188659973,18.027756377319943,18.0,18.027756377319943,31,18.0,,18.0,18.027756377319943,307.0,447.5
32,18.027756377319943,18.027756377319943,18.027756377319943,18.027756377319943,32,18.027756377319943,,18.027756377319943,18.027756377319943,329.5,450.5
33,17.771224780141573,17.528571371623173,18.013878188659973,17.029386365926403,33,18.027756377319943,,18.0,18.027756377319943,344.75,454.5
34,17.756939094329987,18.013878188659973,17.5,18.0,34,17.0,,18.0,18.027756377319943,359.0,456.25
35,17.771224780141573,17.528571371623173,18.013878188659973,17.029386365926403,35,18.027756377319943,,18.0,18.027756377319943,362.75,435.5
36,17.528571371623173,17.029386365926403,18.027756377319943,17.029386365926403,36,18.027756377319943,,18.027756377319943,17.029386365926403,362.0,415.5
37,18.04161355816042,18.055385138137417,18.027841978183424,18.0,37,17.029386365926403,,19.026297590440446,18.110770276274835,362.5,389.0
38,18.298145155338798,18.06926332679739,18.5270269838802,18.027756377319943,38,18.027756377319943,,19.026297590440446,18.110770276274835,347.5,366.25
39,18.27045258627009,18.013878188659973,18.5270269838802,18.0,39,18.027756377319943,,19.026297590440446,18.027756377319943,322.5,355.75
40,17.756939094329987,17.5,18.013878188659973,18.0,40,18.027756377319943,,18.0,17.0,287.75,355.0
41,18.27045258627009,18.013878188659973,18.5270269838802,18.027756377319943,41,18.027756377319943,,19.026297590440446,18.0,261.5,354.25
42,18.256939094329987,18.013878188659973,18.5,18.0,42,18.0,,19.0,18.027756377319943,255.0,353.75
43,18.756574397610112,18.5,19.013148795220225,19.0,43,19.026297590440446,,19.0,18.0,256.25,356.5
44,18.756574397610112,18.5,19.013148795220225,19.0,44,19.026297590440446,,19.0,18.0,256.25,356.5
45,18.756574397610112,18.5,19.013148795220225,19.0,45,19.026297590440446,,19.0,18.0,256.25,356.5
46,18.756574397610112,18.5,19.013148795220225,19.0,46,19.026297590440446,,19.0,18.0,256.25,356.5
47,18.756574397610112,18.5,19.013148795220225,19.0,47,19.026297590440446,,19.0,18.0,256.25,356.5
0,,,,,0,,1.0,,,,
1,,,,,1,,1.0,,,,
2,,,,,2,,1.0,,,,
3,,,,,3,,1.0,,,,
4,,,,,4,,1.0,,,,
5,,,,,5,,1.0,,,,
6,,,,,6,,1.0,,,,
7,,,,,7,,1.0,,,,
8,,,,,8,,-1.0,,,,
9,,,,,9,,1.0,,,,
